"MonthsonHousingRegister","FamilyType","PeopleonApplication","DisabilityApplicationFlag","AtRiskOfOrExperiencingHomelessnessFlag"
84," Single Person",1,"Yes","No"
239," Single Person Over ",1,"Yes","No"
239," Single Person Over ",1,"Yes","Yes"
232," Single Person Over ",1,"Yes","No"
232," Single Person Over ",1,"Yes","No"
220," Single Person Over ",1,"Yes","No"
220," Single Person Over ",1,"Yes","No"
146," Single Parent,  Children",3,"Yes","No"
182," Single Person",1,"Yes","No"
183," Single Person",1,"Yes","No"
180," Single Person Over ",1,"Yes","No"
179," Single Person Over ",1,"Yes","No"
179," Single Person Over ",1,"Yes","Yes"
164," Single Person Over ",1,"Yes","No"
164," Single Person Over ",1,"Yes","No"
83," Single Person Over ",1,"Yes","Yes"
146," Single Parent,  Children",3,"Yes","No"
145," Single Person",1,"Yes","No"
145," Single Person",1,"Yes","No"
140," Single Person",1,"No","Yes"
140," Single Person",1,"No","Yes"
136," Single Person",1,"No","No"
136," Single Person",1,"No","No"
11," Single Person",1,"No","No"
56," Single Person Over ",1,"Yes","No"
56," Single Person Over ",1,"Yes","No"
129," Single Parent,  Child",2,"Yes","No"
81," Single Parent, > Children",4,"No","No"
115," Single Person Over ",1,"No","Yes"
115," Single Person Over ",1,"No","No"
113," Single Person",1,"Yes","No"
113," Single Person",1,"No","No"
79," Single Person",1,"Yes","No"
112," Single Person Over ",1,"Yes","No"
112," Single Person",1,"Yes","No"
112," Single Person",1,"Yes","Yes"
112," Single Person",1,"Yes","No"
112," Single Person Over ",1,"Yes","No"
112," Single Person Over ",1,"Yes","Yes"
112," Single Person Over ",1,"Yes","No"
56," Other",2,"Yes","No"
61," Single Person Over ",1,"Yes","No"
109," Single Person Over ",1,"Yes","No"
109," Single Person Over ",1,"Yes","No"
108," Other",3,"No","Yes"
108," Other",2,"Yes","No"
51," Single Person",1,"Yes","Yes"
104," Single Person Over ",1,"Yes","No"
56," Single Parent, > Children",5,"No","Yes"
104," Single Person Over ",1,"Yes","No"
103," Single Person Over ",1,"Yes","No"
103," Single Person",1,"No","No"
103," Single Person",1,"Yes","No"
103," Single Person",1,"No","No"
103," Single Person",1,"Yes","No"
101," Single Person",1,"Yes","No"
101," Single Person",1,"No","Yes"
103," Single Person",1,"Yes","No"
59," Single Parent,  Child",3,"Yes","No"
101," Single Person",1,"Yes","No"
101," Single Person",1,"Yes","Yes"
99," Other",2,"Yes","No"
99," Single Person",1,"Yes","No"
99," Other",3,"Yes","No"
99," Single Person Over ",1,"Yes","No"
99," Single Parent,  Child",2,"Yes","No"
99," Single Person Over ",1,"Yes","No"
99," Single Person Over ",1,"Yes","No"
99," Single Person",1,"Yes","No"
98," Single Person",1,"Yes","Yes"
99," Single Parent,  Child",2,"Yes","No"
98," Single Parent, > Children",6,"No","No"
42," Single Person Over ",1,"Yes","No"
98," Single Parent, > Children",7,"No","No"
56," Single Person Over ",1,"Yes","No"
97," Single Person",1,"No","Yes"
97," Single Person",1,"No","No"
96," Single Person",1,"Yes","No"
96," Single Person",1,"Yes","Yes"
96," Single Person Over ",1,"Yes","Yes"
38," Single Person Over ",1,"Yes","No"
96," Single Person Over ",1,"Yes","No"
56," Single Person Over ",1,"Yes","No"
94," Single Person",1,"Yes","Yes"
57," Single Person Over ",1,"Yes","No"
56," Other",2,"No","Yes"
94," Single Person",1,"Yes","Yes"
56," Single Person",1,"Yes","No"
93," Single Person",1,"Yes","No"
93," Single Person",1,"Yes","No"
93," Single Person",1,"Yes","No"
93," Single Person",1,"No","No"
93," Single Person",1,"No","Yes"
93," Single Person",1,"Yes","Yes"
93," Single Person",1,"No","No"
93," Single Person",1,"No","No"
93," Single Person",1,"Yes","No"
32," Single Parent, > Children",4,"No","No"
93," Single Person",1,"Yes","No"
92," Single Parent, > Children",7,"No","No"
93," Single Person",1,"Yes","No"
92," Single Person",1,"No","No"
92," Other",2,"No","No"
92," Single Person",1,"No","No"
91," Single Person Over ",1,"Yes","No"
91," Single Person Over ",1,"Yes","No"
92," Single Parent, > Children",5,"No","No"
91," Single Person Over ",1,"Yes","No"
91," Single Person",1,"Yes","No"
90," Single Person",1,"Yes","No"
73," Single Person",1,"Yes","Yes"
90," Other",2,"Yes","No"
90," Other",2,"Yes","No"
91," Single Person",1,"Yes","No"
47," Single Parent,  Children",3,"Yes","No"
89," Single Parent, > Children",4,"Yes","No"
89," Single Person",1,"No","No"
89," Single Person",1,"Yes","No"
89," Single Person",1,"No","No"
88," Single Person Over ",1,"Yes","Yes"
58," Single Person",1,"Yes","Yes"
88," Single Parent, > Children",5,"No","No"
88," Single Person Over ",1,"Yes","No"
43," Single Person",1,"Yes","No"
42," Single Person",1,"Yes","Yes"
88," Single Person",1,"Yes","No"
87," Single Parent,  Child",2,"Yes","No"
87," Single Person Over ",1,"Yes","No"
87," Single Person Over ",1,"Yes","No"
87," Single Person Over ",1,"Yes","No"
52," Single Person",1,"Yes","Yes"
87," Single Person",1,"Yes","No"
87," Single Person",1,"Yes","No"
87," Single Person",1,"Yes","No"
87," Single Person Over ",1,"No","Yes"
87," Single Person Over ",1,"Yes","No"
87," Single Person",1,"No","No"
87," Single Person",1,"No","No"
58," Single Parent, > Children",6,"No","Yes"
86," Single Person",1,"Yes","No"
86," Single Parent,  Child",2,"No","No"
86," Single Parent, > Children",5,"Yes","Yes"
86," Single Person",1,"Yes","No"
86," Single Person",1,"Yes","Yes"
86," Single Person",1,"No","No"
56," Single Person",1,"Yes","No"
85," Single Person Over ",1,"Yes","No"
85," Single Person",1,"No","Yes"
85," Single Person Over ",1,"Yes","Yes"
85," Single Person",1,"Yes","No"
85," Single Person Over ",1,"Yes","Yes"
85," Single Person",1,"Yes","No"
48," Single Person",1,"No","Yes"
85," Single Person",1,"Yes","Yes"
84," Single Person",1,"Yes","No"
84," Single Person",1,"Yes","No"
85," Single Person Over ",1,"Yes","No"
84," Single Person",1,"Yes","No"
84," Single Person",1,"Yes","No"
84," Single Person Over ",1,"Yes","No"
84," Single Person Over ",1,"Yes","No"
84," Single Person",1,"Yes","No"
33," Single Person Over ",1,"Yes","No"
84," Single Person Over ",1,"Yes","Yes"
85," Single Person Over ",1,"Yes","No"
84," Single Person",1,"Yes","No"
84," Single Person Over ",1,"Yes","No"
61," Single Person",1,"Yes","No"
84," Single Person",1,"Yes","Yes"
84," Single Person",1,"No","Yes"
35," Single Person Over ",1,"Yes","No"
84," Single Person",1,"Yes","No"
84," Single Person",1,"Yes","No"
84," Single Person Over ",1,"Yes","No"
48," Single Person Over ",1,"Yes","No"
84," Single Person",1,"Yes","Yes"
84," Single Person Over ",1,"Yes","No"
84," Single Person",1,"Yes","No"
84," Single Person",1,"Yes","No"
84," Single Person",1,"Yes","No"
84," Single Person",1,"Yes","No"
84," Single Person",1,"No","No"
84," Single Person",1,"Yes","No"
83," Other",2,"Yes","No"
83," Single Person Over ",1,"Yes","No"
83," Single Person",1,"No","No"
42," Single Parent,  Child",2,"No","Yes"
84," Single Person",1,"No","Yes"
83," Single Person Over ",1,"Yes","No"
83," Single Person",1,"Yes","No"
83," Single Person",1,"No","No"
61," Single Parent, > Children",4,"No","No"
62," Single Person",1,"Yes","Yes"
83," Single Person Over ",1,"No","No"
82," Single Person",1,"No","Yes"
82," Single Person Over ",1,"Yes","No"
83," Single Person",1,"No","Yes"
82," Single Person",1,"No","Yes"
82," Single Person",1,"Yes","No"
64," Single Person",1,"Yes","Yes"
83," Single Person Over ",1,"No","Yes"
83," Other",2,"Yes","No"
82," Single Person Over ",1,"Yes","No"
63," Single Person",1,"Yes","Yes"
83," Single Person Over ",1,"Yes","No"
82," Single Parent, > Children",4,"Yes","Yes"
81," Single Person",1,"No","Yes"
67," Single Parent, > Children",6,"No","No"
81," Single Parent,  Children",3,"No","No"
81," Single Person Over ",1,"No","Yes"
81," Single Person Over ",1,"Yes","No"
81," Single Person Over ",1,"Yes","Yes"
81," Single Parent, > Children",5,"Yes","Yes"
81," Single Person",1,"Yes","Yes"
81," Single Person Over ",1,"Yes","No"
81," Single Person",1,"No","No"
81," Single Person Over ",1,"Yes","No"
82," Single Person",1,"No","No"
81," Single Person Over ",1,"Yes","No"
81," Single Person",1,"Yes","Yes"
81," Single Person Over ",1,"Yes","Yes"
81," Single Person",1,"No","No"
81," Single Person Over ",1,"Yes","No"
81," Single Person Over ",1,"Yes","No"
80," Single Person Over ",1,"Yes","No"
80," Single Person Over ",1,"Yes","Yes"
57," Single Person",1,"Yes","No"
80," Single Person",1,"No","No"
80," Single Parent,  Child",2,"No","Yes"
80," Single Person Over ",1,"Yes","No"
80," Single Person",1,"No","No"
80," Single Person Over ",1,"Yes","No"
80," Single Person",1,"No","Yes"
60," Single Person",1,"Yes","No"
80," Single Person",1,"No","No"
80," Single Person",1,"Yes","Yes"
81," Single Person Over ",1,"Yes","No"
80," Single Person",1,"Yes","Yes"
80," Single Person Over ",1,"Yes","No"
80," Single Person",1,"No","No"
80," Single Person Over ",1,"Yes","No"
80," Single Person Over ",1,"Yes","No"
80," Single Person Over ",1,"Yes","Yes"
80," Single Person",1,"No","Yes"
79," Single Person",1,"No","Yes"
79," Single Parent,  Child",2,"No","Yes"
59," Single Person",1,"No","Yes"
79," Single Person",1,"Yes","Yes"
79," Single Person",1,"No","Yes"
79," Single Parent,  Child",2,"Yes","Yes"
79," Single Person Over ",1,"Yes","No"
80," Single Parent,  Child",2,"Yes","Yes"
79," Single Person",1,"Yes","No"
79," Single Person",1,"Yes","Yes"
79," Single Person",1,"Yes","No"
79," Single Person",1,"Yes","No"
79," Single Person Over ",1,"Yes","No"
79," Single Person Over ",1,"Yes","No"
79," Single Person",1,"Yes","Yes"
75," Single Person",1,"Yes","No"
78," Single Person",1,"Yes","Yes"
78," Single Person",1,"No","No"
78," Single Person",1,"No","Yes"
78," Single Person",1,"Yes","No"
78," Other",4,"No","No"
78," Single Person Over ",1,"Yes","No"
78," Single Person",1,"Yes","Yes"
78," Single Person",1,"Yes","No"
78," Single Person",1,"Yes","No"
63," Single Person",1,"No","Yes"
78," Single Parent, > Children",6,"No","No"
78," Single Person",1,"Yes","Yes"
78," Single Person Over ",1,"Yes","No"
78," Single Person",1,"No","No"
78," Single Person Over ",1,"Yes","No"
78," Single Person",1,"No","Yes"
78," Single Person",1,"Yes","No"
78," Single Person Over ",1,"Yes","No"
78," Single Person",1,"No","No"
77," Single Person",1,"No","Yes"
77," Single Person",1,"No","No"
56," Single Person",1,"No","No"
77," Single Person",1,"Yes","Yes"
77," Single Person",1,"Yes","No"
76," Single Person",1,"Yes","Yes"
77," Single Person Over ",1,"Yes","Yes"
77," Single Person Over ",1,"Yes","No"
77," Single Parent, > Children",4,"No","No"
77," Single Person Over ",1,"Yes","No"
77," Single Person",1,"Yes","No"
78," Other",4,"Yes","Yes"
77," Single Person",1,"Yes","No"
77," Single Person",1,"Yes","No"
77," Single Person",1,"Yes","No"
77," Single Person Over ",1,"No","Yes"
37," Single Person Over ",1,"Yes","No"
76," Single Parent,  Children",3,"No","Yes"
76," Single Person Over ",1,"Yes","Yes"
78," Single Parent, > Children",4,"No","Yes"
76," Single Person",1,"Yes","No"
77," Single Person",1,"Yes","Yes"
77," Single Parent, > Children",4,"Yes","No"
76," Single Person Over ",1,"Yes","No"
59," Single Person",1,"No","Yes"
76," Single Person Over ",1,"Yes","No"
76," Single Parent, > Children",4,"No","Yes"
77," Single Parent,  Children",3,"No","Yes"
76," Single Person Over ",1,"Yes","No"
76," Single Person",1,"No","Yes"
76," Single Person",1,"No","Yes"
76," Single Person Over ",1,"Yes","No"
76," Single Person",1,"No","No"
76," Single Person",1,"No","Yes"
77," Single Person Over ",1,"Yes","No"
76," Single Person",1,"No","No"
76," Single Person Over ",1,"Yes","No"
76," Single Person",1,"Yes","No"
76," Single Person Over ",1,"No","No"
76," Single Person",1,"Yes","Yes"
76," Single Parent, > Children",5,"No","Yes"
76," Single Parent,  Child",2,"No","Yes"
76," Single Person",1,"Yes","No"
74," Single Person",1,"Yes","No"
76," Single Person",1,"No","No"
76," Single Person Over ",1,"Yes","No"
76," Single Person",1,"Yes","No"
76," Single Person",1,"Yes","Yes"
76," Single Person",1,"No","Yes"
76," Single Person",1,"Yes","Yes"
75," Single Parent,  Children",3,"No","No"
75," Single Person",1,"No","No"
75," Single Person",1,"No","Yes"
75," Single Person",1,"No","Yes"
76," Single Person",1,"Yes","Yes"
75," Single Person",1,"No","No"
75," Single Person",1,"Yes","Yes"
75," Single Person",1,"No","No"
75," Single Person",1,"No","No"
75," Single Parent,  Children",3,"No","No"
75," Other",2,"Yes","No"
75," Single Person",1,"Yes","Yes"
75," Single Person",1,"Yes","Yes"
75," Single Parent, > Children",4,"No","No"
75," Single Parent,  Children",3,"No","No"
76," Single Person",1,"No","No"
76," Single Parent, > Children",6,"No","Yes"
72," Single Person",1,"Yes","No"
75," Single Person",1,"Yes","Yes"
75," Single Person",1,"No","Yes"
77," Single Person",1,"Yes","No"
75," Single Parent, > Children",4,"No","No"
75," Single Person",1,"Yes","No"
75," Single Person",1,"No","Yes"
75," Single Person",1,"Yes","Yes"
57," Single Person",1,"No","Yes"
75," Other",2,"Yes","No"
74," Single Person Over ",1,"No","Yes"
74," Single Person Over ",1,"Yes","No"
74," Single Person",1,"No","No"
74," Single Person",1,"No","Yes"
74," Single Person",1,"No","Yes"
74," Single Person",1,"Yes","No"
74," Single Person",1,"No","Yes"
74," Single Person",1,"Yes","No"
74," Single Person",1,"Yes","Yes"
74," Other",7,"No","No"
75," Single Person",1,"Yes","No"
71," Single Person",1,"No","Yes"
74," Single Person Over ",1,"Yes","Yes"
74," Single Person Over ",1,"Yes","Yes"
43," Single Person",1,"Yes","No"
74," Single Person",1,"No","No"
74," Single Person",1,"Yes","No"
74," Single Person",1,"Yes","Yes"
73," Single Person",1,"Yes","No"
74," Single Person Over ",1,"Yes","No"
74," Single Person",1,"No","No"
74," Single Person",1,"Yes","No"
74," Single Person Over ",1,"Yes","No"
74," Single Person",1,"Yes","Yes"
74," Single Person Over ",1,"No","No"
74," Single Person",1,"No","No"
75," Single Person",1,"No","Yes"
74," Single Person Over ",1,"Yes","No"
74," Single Person",1,"Yes","No"
74," Single Person",1,"No","Yes"
74," Single Person Over ",1,"Yes","No"
74," Single Person Over ",1,"Yes","No"
74," Single Person Over ",1,"Yes","Yes"
74," Single Parent, > Children",6,"No","No"
103," Single Person Over ",1,"Yes","No"
74," Single Person",1,"No","No"
62," Single Parent,  Child",2,"Yes","No"
63," Single Person",1,"Yes","Yes"
74," Single Parent, > Children",5,"No","No"
73," Single Person Over ",1,"Yes","No"
73," Single Person",1,"Yes","Yes"
74," Single Parent, > Children",4,"No","Yes"
73," Single Person Over ",1,"Yes","No"
73," Single Person",1,"Yes","No"
73," Single Parent, > Children",4,"No","Yes"
73," Single Person Over ",1,"Yes","No"
73," Single Person",1,"Yes","Yes"
73," Single Person Over ",1,"No","No"
64," Single Person",1,"Yes","No"
74," Single Person",1,"No","Yes"
73," Single Person",1,"Yes","No"
73," Single Parent,  Children",3,"No","No"
73," Single Parent,  Children",3,"Yes","No"
74," Single Person",1,"No","Yes"
73," Single Person Over ",1,"Yes","No"
73," Single Parent, > Children",4,"Yes","No"
73," Single Person",1,"Yes","No"
73," Single Person",1,"No","No"
73," Single Person",1,"No","No"
73," Single Parent,  Children",3,"No","Yes"
73," Single Parent, > Children",4,"No","No"
73," Single Person",1,"Yes","No"
73," Single Person",1,"No","Yes"
73," Single Person Over ",1,"Yes","No"
73," Single Parent, > Children",4,"No","No"
73," Single Person",1,"Yes","Yes"
73," Single Person Over ",1,"Yes","No"
73," Single Parent, > Children",6,"No","Yes"
73," Single Person",1,"No","Yes"
73," Single Person",1,"Yes","Yes"
73," Single Person Over ",1,"Yes","Yes"
73," Single Person",1,"Yes","No"
73," Single Person Over ",1,"Yes","No"
72," Single Parent,  Child",2,"Yes","Yes"
73," Single Parent,  Children",3,"No","Yes"
72," Single Person",1,"Yes","No"
72," Single Parent,  Child",2,"Yes","Yes"
72," Single Person",1,"No","Yes"
73," Single Person",1,"No","No"
72," Single Person",1,"Yes","No"
55," Single Parent,  Children",3,"No","No"
72," Single Parent, > Children",4,"No","No"
74," Other",3,"No","Yes"
73," Single Person",1,"No","Yes"
72," Single Parent,  Children",3,"No","Yes"
72," Single Person",1,"Yes","Yes"
72," Other",2,"Yes","No"
72," Single Person Over ",1,"Yes","Yes"
72," Single Person",1,"No","Yes"
72," Single Person",1,"No","Yes"
73," Single Person",1,"Yes","No"
74," Single Person Over ",1,"Yes","No"
72," Single Person Over ",1,"No","Yes"
72," Single Person",1,"No","Yes"
72," Single Person",1,"No","Yes"
72," Single Person",1,"Yes","Yes"
72," Single Parent,  Children",3,"No","No"
72," Single Parent, > Children",7,"No","No"
72," Single Person",1,"Yes","No"
55," Single Person",1,"No","Yes"
72," Single Person",1,"No","No"
72," Single Person",1,"No","No"
72," Single Person",1,"No","Yes"
71," Single Person",1,"Yes","No"
71," Single Person",1,"No","No"
71," Single Person",1,"Yes","No"
71," Single Person Over ",1,"Yes","No"
71," Single Person",1,"No","No"
71," Single Person",1,"Yes","Yes"
71," Single Parent,  Children",3,"Yes","Yes"
47," Single Person",1,"Yes","No"
73," Single Person Over ",1,"Yes","No"
71," Single Person",1,"Yes","No"
49," Single Person",1,"No","Yes"
73," Single Person",1,"Yes","No"
71," Single Person",1,"Yes","No"
71," Single Person Over ",1,"Yes","No"
15," Single Person",1,"No","No"
71," Single Parent,  Child",2,"Yes","Yes"
71," Single Parent,  Child",2,"Yes","No"
71," Single Person Over ",1,"Yes","No"
